DataFrame has,Syntax,Description:,Label,Type,parameters,cut_syntax
Combining / comparing / joining / merging,"DataFrame.compare(other[, align_axis, ...])",Compare to another DataFrame and show the differences.,compare,Function,"['other', 'align_axis', '...']",DataFrame.compare()
Combining / comparing / joining / merging,"DataFrame.join(other[, on, how, lsuffix, ...])",Join columns of another DataFrame.,join column of different dataframe,Function,"['other', 'on', 'how', 'lsuffix', '...']",DataFrame.join()
Combining / comparing / joining / merging,"DataFrame.merge(right[, how, on, left_on, ...])",Merge DataFrame or named Series objects with a database-style join.,merge,Function,"['right', 'how', 'on', 'left_on', '...']",DataFrame.merge()
Combining / comparing / joining / merging,"DataFrame.update(other[, join, overwrite, ...])",Modify in place using non-NA values from another DataFrame.,update,Function,"['other', 'join', 'overwrite', '...']",DataFrame.update()
Time Series-related,"DataFrame.asfreq(freq[, method, how, ...])",Convert time series to specified frequency.,covert as frequency,Function,"['freq', 'method', 'how', '...']",DataFrame.asfreq()
Time Series-related,"DataFrame.asof(where[, subset])",Return the last row(s) without any NaNs before where.,last non null,Function,"['where', 'subset']",DataFrame.asof()
Time Series-related,"DataFrame.shift([periods, freq, axis, ...])",Shift index by desired number of periods with an optional time freq.,shift index time series,Function,"['periods', 'freq', 'axis', '...']",DataFrame.shift()
Time Series-related,"DataFrame.slice_shift([periods, axis])",(DEPRECATED) Equivalent to shift without copying data.,slice shift ,Function,"['periods', 'axis']",DataFrame.slice_shift()
Time Series-related,"DataFrame.tshift([periods, freq, axis])","(DEPRECATED) Shift the time index, using the index's frequency if available.",shift by time,Function,"['periods', 'freq', 'axis']",DataFrame.tshift()
Time Series-related,DataFrame.first_valid_index(),"Return index for first non-NA value or None, if no non-NA value is found.",first valid index,Function,[''],DataFrame.first_valid_index()
Time Series-related,DataFrame.last_valid_index(),"Return index for last non-NA value or None, if no non-NA value is found.",last valid index,Function,[''],DataFrame.last_valid_index()
Time Series-related,"DataFrame.resample(rule[, axis, closed, ...])",Resample time-series data.,resample time series data,Function,"['rule', 'axis', 'closed', '...']",DataFrame.resample()
Time Series-related,"DataFrame.to_period([freq, axis, copy])",Convert DataFrame from DatetimeIndex to PeriodIndex.,date to period index,Function,"['freq', 'axis', 'copy']",DataFrame.to_period()
Time Series-related,"DataFrame.to_timestamp([freq, how, axis, copy])","Cast to DatetimeIndex of timestamps, at beginning of period.",to timestamps,Function,"['freq', 'how', 'axis', 'copy']",DataFrame.to_timestamp()
Time Series-related,"DataFrame.tz_convert(tz[, axis, level, copy])",Convert tz-aware axis to target time zone.,target time zone,Function,"['tz', 'axis', 'level', 'copy']",DataFrame.tz_convert()
Time Series-related,"DataFrame.tz_localize(tz[, axis, level, ...])",Localize tz-naive index of a Series or DataFrame to target time zone.,,Function,"['tz', 'axis', 'level', '...']",DataFrame.tz_localize()
Flags,"Flags(obj, *, allows_duplicate_labels)","Flags refer to attributes of the pandas object. Properties of the dataset (like the date is was recorded, the URL it was accessed from, etc.) should be stored in DataFrame.attrs.",,Function,"['obj', '*', 'allows_duplicate_labels']",Flags()
Metadata,Warning,DataFrame.attrs is a dictionary for storing global metadata for this DataFrame.,,Attribute,,Warning
Metadata,DataFrame.attrs,DataFrame.attrs is considered experimental and may change without warning.,,Attribute,,DataFrame.attrs
Plotting,"DataFrame.plot([x, y, kind, ax, ....])",DataFrame.plot is both a callable method and a namespace attribute for specific plotting methods of the form DataFrame.plot.<kind>.,visualize,Function,"['x', 'y', 'kind', 'ax', '....']",DataFrame.plot()
Plotting,"DataFrame.plot.area([x, y])",Draw a stacked area plot.,area plot,Function,"['x', 'y']",DataFrame.plot.area()
Plotting,"DataFrame.plot.bar([x, y])",Vertical bar plot.,vertical bar plot,Function,"['x', 'y']",DataFrame.plot.bar()
Plotting,"DataFrame.plot.barh([x, y])",Make a horizontal bar plot.,horizontal box plot,Function,"['x', 'y']",DataFrame.plot.barh()
Plotting,DataFrame.plot.box([by]),Make a box plot of the DataFrame columns.,vertical box plot,Function,['by'],DataFrame.plot.box()
Plotting,"DataFrame.plot.density([bw_method, ind])",Generate Kernel Density Estimate plot using Gaussian kernels.,density plot,Function,"['bw_method', 'ind']",DataFrame.plot.density()
Plotting,"DataFrame.plot.hexbin(x, y[, C, ...])",Generate a hexagonal binning plot.,hexagonal bin plot,Function,"['x', 'y', 'C', '...']",DataFrame.plot.hexbin()
Plotting,"DataFrame.plot.hist([by, bins])",Draw one histogram of the DataFrame's columns.,histogram,Function,"['by', 'bins']",DataFrame.plot.hist()
Plotting,"DataFrame.plot.kde([bw_method, ind])",Generate Kernel Density Estimate plot using Gaussian kernels.,kde plot,Function,"['bw_method', 'ind']",DataFrame.plot.kde()
Plotting,"DataFrame.plot.line([x, y])",Plot Series or DataFrame as lines.,line plot,Function,"['x', 'y']",DataFrame.plot.line()
Plotting,DataFrame.plot.pie(**kwargs),Generate a pie plot.,pie plot,Function,['**kwargs'],DataFrame.plot.pie()
Plotting,"DataFrame.plot.scatter(x, y[, s, c])",Create a scatter plot with varying marker point size and color.,scatter plot,Function,"['x', 'y', 's', 'c']",DataFrame.plot.scatter()
Plotting,"DataFrame.boxplot([column, by, ax, ...])",Make a box plot from DataFrame columns.,one boxplot per column,Function,"['column', 'by', 'ax', '...']",DataFrame.boxplot()
Plotting,"DataFrame.hist([column, by, grid, ...])","A histogram is a representation of the distribution of data. This function calls matplotlib.pyplot.hist(), on each series in the DataFrame, resulting in one histogram per column.",one histogram per column,Function,"['column', 'by', 'grid', '...']",DataFrame.hist()
Sparse accessor,DataFrame.sparse.density,Sparse-dtype specific methods and attributes are provided under the DataFrame.sparse accessor.,sparse density,Attribute,,DataFrame.sparse.density
Sparse accessor,"DataFrame.sparse.from_spmatrix(data[, ...])",Ratio of non-sparse points to total (dense) data points.,non sparse point ratio,Function,"['data', '...']",DataFrame.sparse.from_spmatrix()
Sparse accessor,DataFrame.sparse.to_coo(),Create a new DataFrame from a scipy sparse matrix.,create new df from a scipy sparse matrix,Function,[''],DataFrame.sparse.to_coo()
Sparse accessor,DataFrame.sparse.to_dense(),Return the contents of the frame as a sparse SciPy COO matrix., sparse scipy coo matrix,Function,[''],DataFrame.sparse.to_dense()
Serialization / IO / conversion,"DataFrame.from_dict(data[, orient, dtype, ...])",Construct DataFrame from dict of array-like or dicts.,df from dictionary,Function,"['data', 'orient', 'dtype', '...']",DataFrame.from_dict()
Serialization / IO / conversion,"DataFrame.from_records(data[, index, ...])",Convert structured or record ndarray to DataFrame.,ndarray to dataframe,Function,"['data', 'index', '...']",DataFrame.from_records()
Serialization / IO / conversion,"DataFrame.to_orc([path, engine, index, ...])",Write a DataFrame to the ORC format.,write orc,Function,"['path', 'engine', 'index', '...']",DataFrame.to_orc()
Serialization / IO / conversion,"DataFrame.to_parquet([path, engine, ...])",Write a DataFrame to the binary parquet format.,write binary parquet format,Function,"['path', 'engine', '...']",DataFrame.to_parquet()
Serialization / IO / conversion,"DataFrame.to_pickle(path[, compression, ...])",Pickle (serialize) object to file.,pickle serealize object,Function,"['path', 'compression', '...']",DataFrame.to_pickle()
Serialization / IO / conversion,"DataFrame.to_csv([path_or_buf, sep, na_rep, ...])",Write object to a comma-separated values (csv) file.,write csv,Function,"['path_or_buf', 'sep', 'na_rep', '...']",DataFrame.to_csv()
Serialization / IO / conversion,"DataFrame.to_hdf(path_or_buf, key[, mode, ...])",Write the contained data to an HDF5 file using HDFStore.,write hdf,Function,"['path_or_buf', 'key', 'mode', '...']",DataFrame.to_hdf()
Serialization / IO / conversion,"DataFrame.to_sql(name, con[, schema, ...])",Write records stored in a DataFrame to a SQL database.,write sql,Function,"['name', 'con', 'schema', '...']",DataFrame.to_sql()
Serialization / IO / conversion,"DataFrame.to_dict([orient, into])",Convert the DataFrame to a dictionary.,write dictionary,Function,"['orient', 'into']",DataFrame.to_dict()
Serialization / IO / conversion,"DataFrame.to_excel(excel_writer[, ...])",Write object to an Excel sheet.,write excel,Function,"['excel_writer', '...']",DataFrame.to_excel()
Serialization / IO / conversion,"DataFrame.to_json([path_or_buf, orient, ...])",Convert the object to a JSON string.,write json,Function,"['path_or_buf', 'orient', '...']",DataFrame.to_json()
Serialization / IO / conversion,"DataFrame.to_html([buf, columns, col_space, ...])",Render a DataFrame as an HTML table.,write html,Function,"['buf', 'columns', 'col_space', '...']",DataFrame.to_html()
Serialization / IO / conversion,"DataFrame.to_feather(path, **kwargs)",Write a DataFrame to the binary Feather format.,write binary,Function,"['path', '**kwargs']",DataFrame.to_feather()
Serialization / IO / conversion,"DataFrame.to_latex([buf, columns, ...])","Render object to a LaTeX tabular, longtable, or nested table.",write latex,Function,"['buf', 'columns', '...']",DataFrame.to_latex()
Serialization / IO / conversion,"DataFrame.to_stata(path[, convert_dates, ...])",Export DataFrame object to Stata dta format.,dataframe to stata dta,Function,"['path', 'convert_dates', '...']",DataFrame.to_stata()
Serialization / IO / conversion,"DataFrame.to_gbq(destination_table[, ...])",Write a DataFrame to a Google BigQuery table.,data frame to google big query table gbq,Function,"['destination_table', '...']",DataFrame.to_gbq()
Serialization / IO / conversion,"DataFrame.to_records([index, column_dtypes, ...])",Convert DataFrame to a NumPy record array.,dataframe to numpy array,Function,"['index', 'column_dtypes', '...']",DataFrame.to_records()
Serialization / IO / conversion,"DataFrame.to_string([buf, columns, ...])",Render a DataFrame to a console-friendly tabular output.,dataframe to tabular ,Function,"['buf', 'columns', '...']",DataFrame.to_string()
Serialization / IO / conversion,"DataFrame.to_clipboard([excel, sep])",Copy object to the system clipboard.,copy to clipboard,Function,"['excel', 'sep']",DataFrame.to_clipboard()
Serialization / IO / conversion,"DataFrame.to_markdown([buf, mode, index, ...])",Print DataFrame in Markdown-friendly format.,markdown friendly format,Function,"['buf', 'mode', 'index', '...']",DataFrame.to_markdown()
Serialization / IO / conversion,DataFrame.style,Returns a Styler object.,change style,Attribute,,DataFrame.style
Serialization / IO / conversion,"DataFrame.__dataframe__([nan_as_null, ...])",Return the dataframe interchange object implementing the interchange protocol.,interchange object implementing the interchange protocol,Function,"['nan_as_null', '...']",DataFrame.__dataframe__()
