Series has,Syntax,Description:,Label,parameters,Type,cut_syntax
Accessors,Series.dt.year,The year of the datetime.,get year,,Attribute,Series.dt.year
Accessors,Series.dt.month,"The month as January=1, December=12.",get month,,Attribute,Series.dt.month
Accessors,Series.dt.day,The day of the datetime.,get day,,Attribute,Series.dt.day
Accessors,Series.dt.hour,The hours of the datetime.,get hour,,Attribute,Series.dt.hour
Accessors,Series.dt.minute,The minutes of the datetime.,get minute,,Attribute,Series.dt.minute
Accessors,Series.dt.second,The seconds of the datetime.,get second,,Attribute,Series.dt.second
Accessors,Series.dt.microsecond,The microseconds of the datetime.,get microsecond,,Attribute,Series.dt.microsecond
Accessors,Series.dt.nanosecond,The nanoseconds of the datetime.,get milisecond,,Attribute,Series.dt.nanosecond
Accessors,Series.dt.week,(DEPRECATED) The week ordinal of the year according to the ISO 8601 standard.,get week,,Attribute,Series.dt.week
Accessors,Series.dt.weekofyear,(DEPRECATED) The week ordinal of the year according to the ISO 8601 standard.,get week of year,,Attribute,Series.dt.weekofyear
Accessors,Series.dt.dayofweek,"The day of the week with Monday=0, Sunday=6.",get day of week,,Attribute,Series.dt.dayofweek
Accessors,Series.dt.day_of_week,"The day of the week with Monday=0, Sunday=6.",get day of week,,Attribute,Series.dt.day_of_week
Accessors,Series.dt.weekday,"The day of the week with Monday=0, Sunday=6.",get day of week,,Attribute,Series.dt.weekday
Accessors,Series.dt.dayofyear,The ordinal day of the year.,get day of year,,Attribute,Series.dt.dayofyear
Accessors,Series.dt.day_of_year,The ordinal day of the year.,get day of year,,Attribute,Series.dt.day_of_year
Accessors,Series.dt.quarter,The quarter of the date.,get quarter of date,,Attribute,Series.dt.quarter
Accessors,Series.dt.is_month_start,Indicates whether the date is the first day of the month.,check if start of month,,Attribute,Series.dt.is_month_start
Accessors,Series.dt.is_month_end,Indicates whether the date is the last day of the month.,check if end of month,,Attribute,Series.dt.is_month_end
Accessors,Series.dt.is_quarter_start,Indicator for whether the date is the first day of a quarter.,check if start of quarter,,Attribute,Series.dt.is_quarter_start
Accessors,Series.dt.is_quarter_end,Indicator for whether the date is the last day of a quarter.,check if end of quarter,,Attribute,Series.dt.is_quarter_end
Accessors,Series.dt.is_year_start,Indicate whether the date is the first day of a year.,check if start of year,,Attribute,Series.dt.is_year_start
Accessors,Series.dt.is_year_end,Indicate whether the date is the last day of the year.,check if end of year,,Attribute,Series.dt.is_year_end
Accessors,Series.dt.is_leap_year,Boolean indicator if the date belongs to a leap year.,chec if leap year,,Attribute,Series.dt.is_leap_year
Accessors,Series.dt.daysinmonth,The number of days in the month.,number of days in month,,Attribute,Series.dt.daysinmonth
Accessors,Series.dt.days_in_month,The number of days in the month.,number of days in month,,Attribute,Series.dt.days_in_month
Accessors,Series.dt.tz,Return the timezone.,get timezone,,Attribute,Series.dt.tz
Accessors,Series.dt.freq,Return the frequency object for this PeriodArray.,frequency object,,Attribute,Series.dt.freq
Accessors,Series.dt.isocalendar(),"Calculate year, week, and day according to the ISO 8601 standard.",calculate date according to ISO,[''],Function,Series.dt.isocalendar()
Accessors,"Series.dt.to_period(*args, **kwargs)",Cast to PeriodArray/Index at a particular frequency.,cast to array,"['*args', '**kwargs']",Function,Series.dt.to_period()
Accessors,Series.dt.to_pydatetime(),Return the data as an array of datetime.datetime objects.,date time array objects,[''],Function,Series.dt.to_pydatetime()
Accessors,"Series.dt.tz_localize(*args, **kwargs)",Localize tz-naive Datetime Array/Index to tz-aware Datetime Array/Index.,localize to timezone,"['*args', '**kwargs']",Function,Series.dt.tz_localize()
Accessors,"Series.dt.tz_convert(*args, **kwargs)",Convert tz-aware Datetime Array/Index from one time zone to another.,convert to another timezone,"['*args', '**kwargs']",Function,Series.dt.tz_convert()
Accessors,"Series.dt.normalize(*args, **kwargs)",Convert times to midnight.,convert to midnight time,"['*args', '**kwargs']",Function,Series.dt.normalize()
Accessors,"Series.dt.strftime(*args, **kwargs)",Convert to Index using specified date_format.,convert to index ,"['*args', '**kwargs']",Function,Series.dt.strftime()
Accessors,"Series.dt.round(*args, **kwargs)",Perform round operation on the data to the specified freq.,round by frequency,"['*args', '**kwargs']",Function,Series.dt.round()
Accessors,"Series.dt.floor(*args, **kwargs)",Perform floor operation on the data to the specified freq.,floor by frequency,"['*args', '**kwargs']",Function,Series.dt.floor()
Accessors,"Series.dt.ceil(*args, **kwargs)",Perform ceil operation on the data to the specified freq.,ceil by frequency,"['*args', '**kwargs']",Function,Series.dt.ceil()
Accessors,"Series.dt.month_name(*args, **kwargs)",Return the month names with specified locale.,get locale month names,"['*args', '**kwargs']",Function,Series.dt.month_name()
Accessors,"Series.dt.day_name(*args, **kwargs)",Return the day names with specified locale.,get locale day names,"['*args', '**kwargs']",Function,Series.dt.day_name()
Accessors,Series.dt.start_time,Get the Timestamp for the start of the period.,period start time,,Attribute,Series.dt.start_time
Accessors,Series.dt.end_time,Get the Timestamp for the end of the period.,period end time,,Attribute,Series.dt.end_time
Accessors,Series.dt.days,Number of days for each element.,element days,,Attribute,Series.dt.days
Accessors,Series.dt.seconds,Number of seconds (>= 0 and less than 1 day) for each element.,element seconds,,Attribute,Series.dt.seconds
Accessors,Series.dt.microseconds,Number of microseconds (>= 0 and less than 1 second) for each element.,element microseconds,,Attribute,Series.dt.microseconds
Accessors,Series.dt.nanoseconds,Number of nanoseconds (>= 0 and less than 1 microsecond) for each element.,element nanoseconds,,Attribute,Series.dt.nanoseconds
Accessors,Series.dt.components,Return a Dataframe of the components of the Timedeltas.,components of time deltas,,Attribute,Series.dt.components
Accessors,Series.dt.to_pytimedelta(),Return an array of native datetime.timedelta objects.,timedelta array,[''],Function,Series.dt.to_pytimedelta()
Accessors,"Series.dt.total_seconds(*args, **kwargs)",Return total duration of each element expressed in seconds.,duration in seconds,"['*args', '**kwargs']",Function,Series.dt.total_seconds()
Accessors,Series.str.capitalize(),Convert strings in the Series/Index to be capitalized.,capitalize,[''],Function,Series.str.capitalize()
Accessors,Series.str.casefold(),Convert strings in the Series/Index to be casefolded.,casefold,[''],Function,Series.str.casefold()
Accessors,"Series.str.cat([others, sep, na_rep, join])",Concatenate strings in the Series/Index with given separator.,merge string,"['others', 'sep', 'na_rep', 'join']",Function,Series.str.cat()
Accessors,"Series.str.center(width[, fillchar])",Pad left and right side of strings in the Series/Index.,pad string,"['width', 'fillchar']",Function,Series.str.center()
Accessors,"Series.str.contains(pat[, case, flags, na, ...])",Test if pattern or regex is contained within a string of a Series or Index.,check pattern,"['pat', 'case', 'flags', 'na', '...']",Function,Series.str.contains()
Accessors,"Series.str.count(pat[, flags])",Count occurrences of pattern in each string of the Series/Index.,count patterns,"['pat', 'flags']",Function,Series.str.count()
Accessors,"Series.str.decode(encoding[, errors])",Decode character string in the Series/Index using indicated encoding.,decode,"['encoding', 'errors']",Function,Series.str.decode()
Accessors,"Series.str.encode(encoding[, errors])",Encode character string in the Series/Index using indicated encoding.,encode,"['encoding', 'errors']",Function,Series.str.encode()
Accessors,"Series.str.endswith(pat[, na])",Test if the end of each string element matches a pattern.,check pattern,"['pat', 'na']",Function,Series.str.endswith()
Accessors,"Series.str.extract(pat[, flags, expand])",Extract capture groups in the regex pat as columns in a DataFrame.,extract patterns,"['pat', 'flags', 'expand']",Function,Series.str.extract()
Accessors,"Series.str.extractall(pat[, flags])",Extract capture groups in the regex pat as columns in DataFrame.,extract patterns,"['pat', 'flags']",Function,Series.str.extractall()
Accessors,"Series.str.find(sub[, start, end])",Return lowest indexes in each strings in the Series/Index.,extract capture groups in in elements,"['sub', 'start', 'end']",Function,Series.str.find()
Accessors,"Series.str.findall(pat[, flags])",Find all occurrences of pattern or regular expression in the Series/Index.,find all patterns,"['pat', 'flags']",Function,Series.str.findall()
Accessors,"Series.str.fullmatch(pat[, case, flags, na])",Determine if each string entirely matches a regular expression.,find all patterns,"['pat', 'case', 'flags', 'na']",Function,Series.str.fullmatch()
Accessors,Series.str.get(i),Extract element from each component at specified position or with specified key.,get element,['i'],Function,Series.str.get()
Accessors,"Series.str.index(sub[, start, end])",Return lowest indexes in each string in Series/Index.,lowest index,"['sub', 'start', 'end']",Function,Series.str.index()
Accessors,Series.str.join(sep),Join lists contained as elements in the Series/Index with passed delimiter.,join ,['sep'],Function,Series.str.join()
Accessors,Series.str.len(),Compute the length of each element in the Series/Index.,lenght of strings,[''],Function,Series.str.len()
Accessors,"Series.str.ljust(width[, fillchar])",Pad right side of strings in the Series/Index.,pad string ,"['width', 'fillchar']",Function,Series.str.ljust()
Accessors,Series.str.lower(),Convert strings in the Series/Index to lowercase.,convert to lower,[''],Function,Series.str.lower()
Accessors,Series.str.lstrip([to_strip]),Remove leading characters.,remove leading characters,['to_strip'],Function,Series.str.lstrip()
Accessors,"Series.str.match(pat[, case, flags, na])",Determine if each string starts with a match of a regular expression.,check if pattern,"['pat', 'case', 'flags', 'na']",Function,Series.str.match()
Accessors,Series.str.normalize(form),Return the Unicode normal form for the strings in the Series/Index.,normalize string,['form'],Function,Series.str.normalize()
Accessors,"Series.str.pad(width[, side, fillchar])",Pad strings in the Series/Index up to width.,pad string,"['width', 'side', 'fillchar']",Function,Series.str.pad()
Accessors,"Series.str.partition([sep, expand])",Split the string at the first occurrence of sep.,split by seperator,"['sep', 'expand']",Function,Series.str.partition()
Accessors,Series.str.removeprefix(prefix),Remove a prefix from an object series.,remove prefix,['prefix'],Function,Series.str.removeprefix()
Accessors,Series.str.removesuffix(suffix),Remove a suffix from an object series.,remove suffix,['suffix'],Function,Series.str.removesuffix()
Accessors,Series.str.repeat(repeats),Duplicate each string in the Series or Index.,duplicate string,['repeats'],Function,Series.str.repeat()
Accessors,"Series.str.replace(pat, repl[, n, case, ...])",Replace each occurrence of pattern/regex in the Series/Index.,replace according to pattern,"['pat', 'repl', 'n', 'case', '...']",Function,Series.str.replace()
Accessors,"Series.str.rfind(sub[, start, end])",Return highest indexes in each strings in the Series/Index.,highest index,"['sub', 'start', 'end']",Function,Series.str.rfind()
Accessors,"Series.str.rindex(sub[, start, end])",Return highest indexes in each string in Series/Index.,highest index,"['sub', 'start', 'end']",Function,Series.str.rindex()
Accessors,"Series.str.rjust(width[, fillchar])",Pad left side of strings in the Series/Index.,pad string,"['width', 'fillchar']",Function,Series.str.rjust()
Accessors,"Series.str.rpartition([sep, expand])",Split the string at the last occurrence of sep.,split by seperator,"['sep', 'expand']",Function,Series.str.rpartition()
Accessors,Series.str.rstrip([to_strip]),Remove trailing characters.,string by to_strip]),['to_strip'],Function,Series.str.rstrip()
Accessors,"Series.str.slice([start, stop, step])",Slice substrings from each element in the Series or Index.,slice string,"['start', 'stop', 'step']",Function,Series.str.slice()
Accessors,"Series.str.slice_replace([start, stop, repl])",Replace a positional slice of a string with another value.,slice and replace,"['start', 'stop', 'repl']",Function,Series.str.slice_replace()
Accessors,"Series.str.split([pat, n, expand, regex])",Split strings around given separator/delimiter.,split by seperator,"['pat', 'n', 'expand', 'regex']",Function,Series.str.split()
Accessors,"Series.str.rsplit([pat, n, expand])",Split strings around given separator/delimiter.,split by seperator,"['pat', 'n', 'expand']",Function,Series.str.rsplit()
Accessors,"Series.str.startswith(pat[, na])",Test if the start of each string element matches a pattern.,check if pattern,"['pat', 'na']",Function,Series.str.startswith()
Accessors,Series.str.strip([to_strip]),Remove leading and trailing characters.,remove leading characters,['to_strip'],Function,Series.str.strip()
Accessors,Series.str.swapcase(),Convert strings in the Series/Index to be swapcased.,swapcase,[''],Function,Series.str.swapcase()
Accessors,Series.str.title(),Convert strings in the Series/Index to titlecase.,titlecase,[''],Function,Series.str.title()
Accessors,Series.str.translate(table),Map all characters in the string through the given mapping table.,translate according to table,['table'],Function,Series.str.translate()
Accessors,Series.str.upper(),Convert strings in the Series/Index to uppercase.,convert to upper,[''],Function,Series.str.upper()
Accessors,"Series.str.wrap(width, **kwargs)",Wrap strings in Series/Index at specified line width.,wrap string,"['width', '**kwargs']",Function,Series.str.wrap()
Accessors,Series.str.zfill(width),Pad strings in the Series/Index by prepending '0' characters.,pad with 0,['width'],Function,Series.str.zfill()
Accessors,Series.str.isalnum(),Check whether all characters in each string are alphanumeric.,check if alphanumeric,[''],Function,Series.str.isalnum()
Accessors,Series.str.isalpha(),Check whether all characters in each string are alphabetic.,check if alphabetic,[''],Function,Series.str.isalpha()
Accessors,Series.str.isdigit(),Check whether all characters in each string are digits.,check if digits,[''],Function,Series.str.isdigit()
Accessors,Series.str.isspace(),Check whether all characters in each string are whitespace.,check if wjhitespaces,[''],Function,Series.str.isspace()
Accessors,Series.str.islower(),Check whether all characters in each string are lowercase.,check if lowercase,[''],Function,Series.str.islower()
Accessors,Series.str.isupper(),Check whether all characters in each string are uppercase.,check if uppercase,[''],Function,Series.str.isupper()
Accessors,Series.str.istitle(),Check whether all characters in each string are titlecase.,check if titlecase,[''],Function,Series.str.istitle()
Accessors,Series.str.isnumeric(),Check whether all characters in each string are numeric.,check if numeric,[''],Function,Series.str.isnumeric()
Accessors,Series.str.isdecimal(),Check whether all characters in each string are decimal.,check if decimal,[''],Function,Series.str.isdecimal()
Accessors,Series.str.get_dummies([sep]),Return DataFrame of dummy/indicator variables for Series.,dummy,['sep'],Function,Series.str.get_dummies()
Accessors,Series.cat.categories,The categories of this categorical.,get categories,,Attribute,Series.cat.categories
Accessors,Series.cat.ordered,Whether the categories have an ordered relationship.,check ordered relation,,Attribute,Series.cat.ordered
Accessors,Series.cat.codes,Return Series of codes as well as the index.,get codes,,Attribute,Series.cat.codes
Accessors,"Series.cat.rename_categories(*args, **kwargs)",Rename categories.,rename categories,"['*args', '**kwargs']",Function,Series.cat.rename_categories()
Accessors,"Series.cat.reorder_categories(*args, **kwargs)",Reorder categories as specified in new_categories.,reorder categories,"['*args', '**kwargs']",Function,Series.cat.reorder_categories()
Accessors,"Series.cat.add_categories(*args, **kwargs)",Add new categories.,add category,"['*args', '**kwargs']",Function,Series.cat.add_categories()
Accessors,"Series.cat.remove_categories(*args, **kwargs)",Remove the specified categories.,remove category,"['*args', '**kwargs']",Function,Series.cat.remove_categories()
Accessors,"Series.cat.remove_unused_categories(*args, ...)",Remove categories which are not used.,remove unused categories,"['*args', '...']",Function,Series.cat.remove_unused_categories()
Accessors,"Series.cat.set_categories(*args, **kwargs)",Set the categories to the specified new_categories.,set categories,"['*args', '**kwargs']",Function,Series.cat.set_categories()
Accessors,"Series.cat.as_ordered(*args, **kwargs)",Set the Categorical to be ordered.,set ordered,"['*args', '**kwargs']",Function,Series.cat.as_ordered()
Accessors,"Series.cat.as_unordered(*args, **kwargs)",Set the Categorical to be unordered.,set unordered,"['*args', '**kwargs']",Function,Series.cat.as_unordered()
Accessors,Series.sparse.npoints,The number of non- fill_value points.,nonfll value points,,Attribute,Series.sparse.npoints
Accessors,Series.sparse.density,"The percent of non- fill_value points, as decimal.",decimal nonfill value points ,,Attribute,Series.sparse.density
Accessors,Series.sparse.fill_value,Elements in data that are fill_value are not stored.,fillvalue,,Attribute,Series.sparse.fill_value
Accessors,Series.sparse.sp_values,An ndarray containing the non- fill_value values.,array of nonfill values,,Attribute,Series.sparse.sp_values
Accessors,"Series.sparse.from_coo(A[, dense_index])",Create a Series with sparse values from a scipy.sparse.coo_matrix.,coo matrix,"['A', 'dense_index']",Function,Series.sparse.from_coo()
Accessors,"Series.sparse.to_coo([row_levels, ...])",Create a scipy.sparse.coo_matrix from a Series with MultiIndex.,coo matrix,"['row_levels', '...']",Function,Series.sparse.to_coo()
Accessors,"Flags(obj, *, allows_duplicate_labels)",Flags that apply to pandas objects.,constructor,"['obj', '*', 'allows_duplicate_labels']",Function,Flags()
Accessors,Metadata,Series.attrs is a dictionary for storing global metadata for this Series.,metadata,,Attribute,Metadata
Accessors,Warning,Series.attrs is considered experimental and may change without warning.,warning,,Attribute,Warning
Accessors,Series.attrs,attributes,attributes,,Attribute,Series.attrs
Plotting,"Series.plot([kind, ax, figsize, ....])",Series plotting accessor and method,plot a series,"['kind', 'ax', 'figsize', '....']",Function,Series.plot()
Plotting,"Series.plot.area([x, y])",Draw a stacked area plot.,area plot,"['x', 'y']",Function,Series.plot.area()
Plotting,"Series.plot.bar([x, y])",Vertical bar plot.,vertical bar plot,"['x', 'y']",Function,Series.plot.bar()
Plotting,"Series.plot.barh([x, y])",Make a horizontal bar plot.,horizontal bar plot,"['x', 'y']",Function,Series.plot.barh()
Plotting,Series.plot.box([by]),Make a box plot of the DataFrame columns.,box plot,['by'],Function,Series.plot.box()
Plotting,"Series.plot.density([bw_method, ind])",Generate Kernel Density Estimate plot using Gaussian kernels.,density plot,"['bw_method', 'ind']",Function,Series.plot.density()
Plotting,"Series.plot.hist([by, bins])",Draw one histogram of the DataFrame's columns.,histogram,"['by', 'bins']",Function,Series.plot.hist()
Plotting,"Series.plot.kde([bw_method, ind])",Generate Kernel Density Estimate plot using Gaussian kernels.,kernal density lot,"['bw_method', 'ind']",Function,Series.plot.kde()
Plotting,"Series.plot.line([x, y])",Plot Series or DataFrame as lines.,line plot,"['x', 'y']",Function,Series.plot.line()
Plotting,Series.plot.pie(**kwargs),Generate a pie plot.,pie plot,['**kwargs'],Function,Series.plot.pie()
Plotting,"Series.hist([by, ax, grid, xlabelsize, ...])",histogram,histogram,"['by', 'ax', 'grid', 'xlabelsize', '...']",Function,Series.hist()
Serialization / IO / conversion,"Series.to_pickle(path[, compression, ...])",Pickle (serialize) object to file.,write to pickle,"['path', 'compression', '...']",Function,Series.to_pickle()
Serialization / IO / conversion,"Series.to_csv([path_or_buf, sep, na_rep, ...])",Write object to a comma-separated values (csv) file.,write to csv,"['path_or_buf', 'sep', 'na_rep', '...']",Function,Series.to_csv()
Serialization / IO / conversion,Series.to_dict([into]),Convert Series to {label -> value} dict or dict-like object.,convert to dictionary,['into'],Function,Series.to_dict()
Serialization / IO / conversion,"Series.to_excel(excel_writer[, sheet_name, ...])",Write object to an Excel sheet.,write to excel,"['excel_writer', 'sheet_name', '...']",Function,Series.to_excel()
Serialization / IO / conversion,Series.to_frame([name]),Convert Series to DataFrame.,convert to dataframe,['name'],Function,Series.to_frame()
Serialization / IO / conversion,Series.to_xarray(),Return an xarray object from the pandas object.,convert to array,[''],Function,Series.to_xarray()
Serialization / IO / conversion,"Series.to_hdf(path_or_buf, key[, mode, ...])",Write the contained data to an HDF5 file using HDFStore.,write to HDF5,"['path_or_buf', 'key', 'mode', '...']",Function,Series.to_hdf()
Serialization / IO / conversion,"Series.to_sql(name, con[, schema, ...])",Write records stored in a DataFrame to a SQL database.,write to sql,"['name', 'con', 'schema', '...']",Function,Series.to_sql()
Serialization / IO / conversion,"Series.to_json([path_or_buf, orient, ...])",Convert the object to a JSON string.,conver to JSON,"['path_or_buf', 'orient', '...']",Function,Series.to_json()
Serialization / IO / conversion,"Series.to_string([buf, na_rep, ...])",Render a string representation of the Series.,convert to string,"['buf', 'na_rep', '...']",Function,Series.to_string()
Serialization / IO / conversion,"Series.to_clipboard([excel, sep])",Copy object to the system clipboard.,copy to clipboard,"['excel', 'sep']",Function,Series.to_clipboard()
Serialization / IO / conversion,"Series.to_latex([buf, columns, col_space, ...])","Render object to a LaTeX tabular, longtable, or nested table.",conver to latex,"['buf', 'columns', 'col_space', '...']",Function,Series.to_latex()
Serialization / IO / conversion,"Series.to_markdown([buf, mode, index, ...])",Print Series in Markdown-friendly format.,markdown format,"['buf', 'mode', 'index', '...']",Function,Series.to_markdown()
